Squad,Product,ID,Event Name,screen_figma,screen_analytics,object,country,Estado Unificado,Acción Sugerida,Eventos,Fila GA4,Fila FE,Archivo FE,Use Case,Business Question
Banner,CDT,AMP-4-1-001,product,COL_CDT_NewSimulator,Product_Simulated,next_button_clicked,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,Se requiere evaluar si actualmente el funcionamiento del flujo de CDT (simulador) está siendo bien recibido por el usuario y si estos estan interactuando con el contenido de valor que ofrece Tyba CDT. Esto con el fin de incrementar el % de conversión desde Simulador hasta Cash-In.,¿Cuál es el % de usuarios que reintenta el flujo de simulación de CDT desde el dashboard después de hacer un drop-off del flujo?
Banner,CDT,AMP-4-1-002,product,CDT_Summary_CO,Product_Resume,,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,Se requiere evaluar si actualmente el funcionamiento del flujo de CDT (simulador) está siendo bien recibido por el usuario y si estos estan interactuando con el contenido de valor que ofrece Tyba CDT. Esto con el fin de incrementar el % de conversión desde Simulador hasta Cash-In.,¿Cual es el drop-off por pantalla del flujo del simulador y del resumen? 
Banner,CDT,AMP-4-1-003,product,CDT_SelectMethodCashIn_CO,Product_Invested,next_button_clicked,CO,🟢 VIVO (Parcial · object 74%),Mantener,10790,Fila 200,Fila 215,packages/features/generic/cash_in/module/lib/core/attribution/events.dart,Se requiere evaluar si actualmente el funcionamiento del flujo de CDT (simulador) está siendo bien recibido por el usuario y si estos estan interactuando con el contenido de valor que ofrece Tyba CDT. Esto con el fin de incrementar el % de conversión desde Simulador hasta Cash-In.,¿Cual es el drop-off por pantalla del flujo del simulador y del resumen? 
Banner,CDT,AMP-4-1-004,product,Cashin_DepositSucess_CO,Product_Go_Cashin,next_button_clicked,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,Se requiere evaluar si actualmente el funcionamiento del flujo de CDT (simulador) está siendo bien recibido por el usuario y si estos estan interactuando con el contenido de valor que ofrece Tyba CDT. Esto con el fin de incrementar el % de conversión desde Simulador hasta Cash-In.,¿Cual es la conversión en el proceso de simulación de meta para CDT? 
Barton,TRANSVERSAL,AMP-5-0001,profiling,Onboarding_StartProfilling_CO,Onboarding_StartProfilling_Started,button_clicked,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cual es la tasa de conversión general de flujo? 
Barton,TRANSVERSAL,AMP-5-0002,profiling,Profilling_Q1,Profiling_Answered,button_clicked,"CO, PE, CL",🟢 VIVO (Exacto),Mantener,59224,Fila 71,Fila 413,packages/features/generic/risk_profile/module/lib/core/attribution/events.dart,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cuantas personas seleccionan x respuesta a la pregunta de perfilamiento Y?
Barton,TRANSVERSAL,AMP-5-0003,profiling,Profilling_Q2,Profiling_Answered,button_clicked,"CO, PE, CL",🟢 VIVO (Exacto) (ℹ️ 1:N Programático),Mantener,57371,Fila 77,Fila 413,packages/features/generic/risk_profile/module/lib/core/attribution/events.dart,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cuantas personas seleccionan x respuesta a la pregunta de perfilamiento Y?
Barton,TRANSVERSAL,AMP-5-0004,profiling,Profilling_Q3,Profiling_Answered,button_clicked,"CO, PE, CL",🟢 VIVO (Exacto) (ℹ️ 1:N Programático),Mantener,56471,Fila 78,Fila 413,packages/features/generic/risk_profile/module/lib/core/attribution/events.dart,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cuantas personas seleccionan x respuesta a la pregunta de perfilamiento Y?
Barton,TRANSVERSAL,AMP-5-0005,profiling,Profilling_Q4,Profiling_Answered,button_clicked,"CO, PE, CL",🟢 VIVO (Exacto) (ℹ️ 1:N Programático),Mantener,55660,Fila 80,Fila 413,packages/features/generic/risk_profile/module/lib/core/attribution/events.dart,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cuantas personas seleccionan x respuesta a la pregunta de perfilamiento Y?
Barton,TRANSVERSAL,AMP-5-0006,profiling,Profilling_Q5,Profiling_Answered,button_clicked,"CO, PE, CL",🟢 VIVO (Exacto) (ℹ️ 1:N Programático),Mantener,55512,Fila 81,Fila 413,packages/features/generic/risk_profile/module/lib/core/attribution/events.dart,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cuantas personas seleccionan x respuesta a la pregunta de perfilamiento Y?
Barton,TRANSVERSAL,AMP-5-0008,profiling,Profilling_SelectProfile_CO,Confirmación perfil de riesgo,button_clicked,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,Queremos saber como se esta comportando el flujo de perfilamiento  para mejorar la conversion general del cashin,¿Cuanto se demora una persona en completar el flujo end to end?
Barton,KYC,AMP-5-0009,KYC,KYC_ModalMigratedUser_PER,Support_CC_migrated,screen,PE,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,,Fila 186,packages/features/generic/bcp_verify/module/lib/core/events/events.dart,"Queremos saber cómo se comportan los clientes que consultan la información contenida en el botón de ""Así vas a invertir""  en la pantalla de creación de meta de un portafolio para aumentar el % de conversión y el monto invertido por un cliente",¿Cuántos usuarios dan clic a este botón?
Barton,KYC,AMP-5-0010,KYC,KYC_ModalMigratedUser_PER,Support_CC_migrated,button_clicked,PE,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,,Fila 187,packages/features/generic/bcp_verify/module/lib/core/events/events.dart,"Queremos saber cómo se comportan los clientes que consultan la información contenida en el botón de ""Así vas a invertir""  en la pantalla de creación de meta de un portafolio para aumentar el % de conversión y el monto invertido por un cliente",¿Cuántos usuarios dan clic a este botón?
Barton,KYC,AMP-5-0011,KYC,KYC_ModalMigratedUser_PER,Support_CC_migrated,close_button_clicked,PE,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,,Fila 188,packages/features/generic/bcp_verify/module/lib/core/events/events.dart,"Queremos saber cómo se comportan los clientes que consultan la información contenida en el botón de ""Así vas a invertir""  en la pantalla de creación de meta de un portafolio para aumentar el % de conversión y el monto invertido por un cliente",¿Cuántos usuarios dan clic a este botón?
Barton,KYC,AMP-9-0013,kyc,KYC_IdentityVinculationInstructions_CO,KYC_Start,next_button_clicked,"CL, CO, PE",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,"¿Cuántos usuarios llegan a cada modulo del KYC? , ¿Cuanto es el tiempo promedio que toma hacer el KYC? (end to end) (min), ¿Qué pocentaje de las personas salen del flujo y retornan despues?"
Barton,KYC,AMP-9-0014,kyc,KYC_ResumeProcess_CO,Kyc Resumed,next_button_clicked,"CL, CO, PE","🟠 DISPARA, NO ESTÁ EN CÓDIGO",Revisar naming en código FE,32782,Fila 117,,,,"¿Qué pocentaje de las personas salen del flujo y retornan despues?, ¿En promedio, cuantas veces las personas entran al flujo antes de completarlo?, ¿Cuantas sessions en promedio toma completer el flujo?"
